datestr,auth_state,mega_region,marketplace,sub_marketplace,psp_name,num_trips_authed
2018-09-11,VOIDED,US & Canada,personal_transport,U4F,braintree,1646
2018-09-13,UNAPPLIED,EMEA,agora,U4B-Unmanaged,paypal,69
2018-09-17,APPLIED,EMEA,personal_transport,U4B-Managed-Centralized,braintree,1822
2018-09-18,VOIDED,EMEA,personal_transport,U4B-Managed-Centralized,braintree,527
2018-09-19,PENDING,US & Canada,personal_transport,U4F,braintree,21402
2018-09-21,UNAPPLIED,APACX,personal_transport,U4B-Unmanaged,braintree,3045
2018-09-22,UNAPPLIED,India SA,personal_transport,U4B-Unmanaged,braintree,1098
2018-09-22,VOIDED,APACX,personal_transport,U4B-Managed-Decentralized,paypal,11
2018-09-25,UNAPPLIED,India SA,personal_transport,U4B-Managed-Decentralized,paytm,2216
2018-09-26,UNAPPLIED,EMEA,personal_transport,U4B-Unmanaged,braintree,24362
2018-09-28,UNAPPLIED,APACX,personal_transport,U4F,paypal,17
2018-10-06,PENDING,LatAm,agora,Not_Avlbl,paypal,6005
2018-07-01,FAILED,EMEA,personal_transport,U4B-Unmanaged,braintree,1
2018-07-08,FAILED,EMEA,personal_transport,U4F,paypal,1
2018-07-09,UNAPPLIED,LatAm,agora,Not_Avlbl,other,214
2018-07-11,PENDING,LatAm,agora,U4B-Unmanaged,paypal,41
2018-07-14,VOIDED,LatAm,personal_transport,U4B-Managed-Centralized-Missing,paypal,1
2018-07-20,PENDING,India SA,personal_transport,U4B-Managed-Centralized,paytm,13
2018-07-22,APPLIED,US & Canada,agora,U4B-Unmanaged,other,1
2018-07-24,PENDING,LatAm,personal_transport,U4B-Unmanaged,braintree,52356
2018-07-25,PENDING,US & Canada,agora,U4B-Managed-Centralized-Missing,braintree,1
2018-07-25,UNAPPLIED,US & Canada,agora,U4B-Unmanaged,paypal,204
2018-07-29,APPLIED,US & Canada,personal_transport,U4B-Managed-Centralized,braintree,1632
2018-07-29,UNAPPLIED,India SA,personal_transport,Not_Avlbl,paytm,224109
2018-08-06,UNAPPLIED,LatAm,personal_transport,U4B-Managed-Centralized-Missing,paypal,2
2018-08-08,PENDING,LatAm,personal_transport,U4B-Managed-Centralized,braintree,8651
2018-08-10,VOIDED,US & Canada,personal_transport,Not_Avlbl,braintree,173827
2018-08-15,UNAPPLIED,US & Canada,agora,U4B-Unmanaged,other,5
2018-08-17,APPLIED,US & Canada,agora,U4B-Unmanaged,paypal,231
2018-08-17,FAILED,US & Canada,agora,Not_Avlbl,paypal,49
2018-08-18,VOIDED,US & Canada,agora,U4B-Unmanaged,paypal,3
2018-08-19,DROPPED,APACX,personal_transport,U4F,braintree,3
2018-08-21,PENDING,EMEA,agora,Not_Avlbl,braintree,109639
2018-08-23,PENDING,EMEA,personal_transport,U4B-Managed-Centralized,paypal,5
2018-08-24,APPLIED,APACX,personal_transport,Not_Avlbl,other,1353
2018-08-24,UNAPPLIED,LatAm,personal_transport,U4F,paypal,7
2018-08-25,APPLIED,India SA,personal_transport,Not_Avlbl,other,450
2018-08-25,VOIDED,APACX,personal_transport,Not_Avlbl,other,231
2018-08-26,PENDING,LatAm,personal_transport,U4B-Managed-Decentralized,paypal,2
2018-08-26,VOIDED,India SA,personal_transport,Not_Avlbl,other,17
2018-08-27,UNAPPLIED,APACX,personal_transport,Not_Avlbl,paypal,23828
2018-08-29,APPLIED,EMEA,personal_transport,Not_Avlbl,other,2585
2018-08-29,FAILED,LatAm,personal_transport,U4B-Managed-Centralized,braintree,5
2018-09-02,UNAPPLIED,US & Canada,personal_transport,Not_Avlbl,braintree,3156059
2018-09-05,PENDING,India SA,personal_transport,U4B-Managed-Centralized,paytm,19
2018-09-09,PENDING,LatAm,personal_transport,U4B-Unmanaged,braintree,36513
2018-09-10,VOIDED,LatAm,personal_transport,U4B-Unmanaged,braintree,9209
2018-09-11,PENDING,Not_Avlbl,Not_Avlbl,Not_Avlbl,braintree,773200
2018-09-16,FAILED,US & Canada,agora,Not_Avlbl,other,27
2018-09-17,UNAPPLIED,APACX,personal_transport,Not_Avlbl,other,777
2018-09-17,VOIDED,LatAm,personal_transport,U4F,paypal,5
2018-09-18,UNAPPLIED,India SA,personal_transport,Not_Avlbl,other,552
2018-09-18,VOIDED,US & Canada,Not_Avlbl,Not_Avlbl,braintree,12
2018-09-19,APPLIED,APACX,personal_transport,Not_Avlbl,paypal,771
2018-09-19,DROPPED,EMEA,personal_transport,U4B-Managed-Decentralized,braintree,2
2018-09-30,UNAPPLIED,APACX,agora,U4B-Unmanaged,braintree,582
2018-10-01,FAILED,India SA,agora,Not_Avlbl,braintree,1
2018-10-05,APPLIED,EMEA,agora,U4B-Unmanaged,braintree,1156
2018-10-05,FAILED,EMEA,agora,Not_Avlbl,braintree,1283
