datestr,mega_region,marketplace,token_type,cb_1d_amt,cb_7d_amt,cb_14d_amt,cb_21d_amt,cb_28d_amt,dns_1d_amt,dns_7d_amt,dns_14d_amt,dns_21d_amt,dns_28d_amt
2018-09-14,LatAm,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,143.3614167057239,73.19182820399982,50.488792963235106,46.98910014081874,36.97285139483488
2018-08-13,India SA,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-18,US & Canada,personal_transport,apple_pay,0.0,0.0,0.0,230.0,240.18,22938.966890546682,12267.014304847135,9779.974279242364,9001.204503952878,8711.686130428974
2018-08-30,LatAm,personal_transport,derivative,0.0,0.0,0.0,0.0,0.0,100.54369189490959,57.2980039871499,47.51859515619007,36.94902050916813,33.70762177920472
2018-10-04,EMEA,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-03,India SA,personal_transport,upi_hdfc,0.0,0.0,0.0,0.0,0.0,2.2987096576455084,2.2987096576455084,0.0,0.0,0.0
2018-08-11,EMEA,personal_transport,kcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-03,US & Canada,personal_transport,alipay2,0.0,0.0,0.0,0.0,0.0,135.8298212988748,41.22,0.0,0.0,0.0
2018-08-21,US & Canada,agora,derivative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-23,EMEA,personal_transport,derivative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-04,EMEA,personal_transport,stored_value,0.0,0.0,0.0,0.0,0.0,120.19726150925447,4.345397327437695,4.345397327437695,4.345397327437695,4.345397327437695
2018-09-10,US & Canada,personal_transport,braintree,844.3400000000001,1658.1741693514073,26972.394269649256,45618.845476262846,73391.44953435978,374344.3597647679,214164.03189675533,184550.1253989377,175027.2609651334,169411.9815931082
2018-08-06,US & Canada,personal_transport,derivative,0.0,0.0,0.0,0.0,0.0,405.31999999999994,395.06999999999994,395.06999999999994,218.1,165.17999999999998
2018-09-23,US & Canada,personal_transport,facebook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11,India SA,agora,cash,0.0,0.0,0.0,0.0,0.0,20082.093321636923,0.0,0.0,0.0,0.0
2018-09-08,APACX,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,63.039162500575486,63.039162500575486,63.039162500575486,63.039162500575486,63.039162500575486
2018-10-09,India SA,agora,braintree,0.0,0.0,0.0,0.0,0.0,29.957979366593463,0.0,0.0,0.0,0.0
2018-09-10,APACX,personal_transport,alipay2,0.0,0.0,0.0,0.0,0.0,104.90180384763602,96.61453068061722,83.12726035901412,77.00961664773845,77.00961664773845
